property_url,price,square_footage
https://www.redfin.com/FL/Fort-Myers/6112-Kramer-Ave-33905/home/61907351,"$384,900","1,801Sq Ft"
https://www.redfin.com/FL/Fort-Myers/2715-Market-St-33916/home/61859859,"$199,999",644Sq Ft
https://www.redfin.com/FL/Fort-Myers/6580-Chabot-Ave-33905/home/67812947,"$465,000","2,074Sq Ft"
https://www.redfin.com/FL/Unknown/7136-Sugar-Pine-Way-33966/home/191759446,"$457,297","2,382Sq Ft"
https://www.redfin.com/FL/Unknown/7112-Sugar-Pine-Way-33966/home/191565568,"$447,798","2,216Sq Ft"
https://www.redfin.com/FL/Fort-Myers/1152-Marsh-Ave-33905/home/67761244,"$125,000","1,308Sq Ft"
https://www.redfin.com/FL/Fort-Myers/18213-Poplar-Rd-33967/home/61874461,"$430,000","1,536Sq Ft"
https://www.redfin.com/FL/Fort-Myers/7410-Lake-Breeze-Dr-33907/unit-506/home/61972488,"$249,900","1,189Sq Ft"
https://www.redfin.com/FL/Fort-Myers/5260-S-Landings-Dr-33919/unit-1005/home/67840682,"$424,000","2,215Sq Ft"
https://www.redfin.com/FL/Fort-Myers/8819-Somerset-Blvd-33919/home/67808200,"$245,000","1,201Sq Ft"
https://www.redfin.com/FL/Fort-Myers/7-Birch-Blvd-33908/home/67713619,"$300,000","1,280Sq Ft"
https://www.redfin.com/FL/Fort-Myers/12949-Kentfield-Ln-33913/home/67643369,"$875,000","2,399Sq Ft"
https://www.redfin.com/FL/Fort-Myers/8850-Spring-Mountain-Way-33908/home/61847175,"$449,000","1,820Sq Ft"
https://www.redfin.com/FL/Fort-Myers/1605-Hough-St-33901/home/61979410,"$849,500","1,859Sq Ft"
https://www.redfin.com/FL/Fort-Myers/2012-S-Olga-Dr-33905/unit-25/home/67843198,"$169,000",672Sq Ft
https://www.redfin.com/FL/Fort-Myers/15630-Ocean-Walk-Cir-33908/unit-313/home/67628037,"$257,000",981Sq Ft
